N,P,K,temperature,humidity,ph,label,soil_texture
105,42,53,20.87974371,77.00274423,6.302985292,rice,Clay
100,58,51,21.77046169,75.31964408,6.838096361,rice,Clay
75,55,54,23.00445915,77.3207629,7.640207144,rice,Clay
89,35,50,26.49109635,75.15836264,6.780400905,rice,Clay Loam
93,42,52,20.13017482,76.60487287,7.428472891,rice,Clay
84,37,52,23.05804872,78.37011772,6.873453503,rice,Clay
84,55,48,22.70883798,77.63941394,5.50080568,rice,Clay
109,53,50,20.27774362,77.89408619,5.518627178,rice,Clay Loam
104,54,48,24.51588066,78.5352163,6.485346423999999,rice,Clay Loam
83,58,48,23.22397386,78.03322691,6.136253525,rice,Clay
106,53,50,26.52723513,76.41753846,5.186167788,rice,Clay
105,46,52,23.97898217,76.45061596,7.30283396,rice,Clay Loam
93,58,54,26.80079604,75.88684822,4.908681786,rice,Clay
108,56,46,24.01497622,77.05687182,6.78435366,rice,Clay
109,50,47,25.66585205,75.66385045,6.74801983,rice,Clay
75,48,49,24.28209415,75.30025587,6.842299069,rice,Clay
100,38,51,21.58711777,77.7883708,6.049050656,rice,Clay
106,35,49,23.79391957,75.41817957,6.770859754,rice,Clay Loam
92,38,46,21.8652524,75.1923008,5.753933276,rice,Clay
103,35,50,23.57943626,78.58760316,5.65393208,rice,Clay Loam
104,45,46,21.32504158,75.47476396,6.242475375,rice,Clay
91,40,53,25.15745531,78.11713476,4.870175667,rice,Clay Loam
82,59,51,21.94766735,75.97384195,5.812632591,rice,Clay
98,41,53,21.0525355,77.67839517,6.054028451,rice,Clay
113,47,47,23.48381344,76.33265073,7.175482851,rice,Clay
81,53,51,25.0756354,75.52389148,7.578915154,rice,Clay Loam
112,59,53,26.35927159,79.04403589,6.086500176,rice,Silty Loam
112,50,51,24.52922681,75.54498576,6.870959995,rice,Clay
75,49,54,20.77576147,79.49774397,6.044841491,rice,Clay
99,51,45,22.30157427,75.64416466,5.843304899,rice,Clay
88,57,51,21.44653958,79.94375962,5.624709117,rice,Clay
107,35,50,22.17931888,75.33127223,6.157389365999999,rice,Clay
100,37,49,24.52783742,77.73685569,6.164134968,rice,Clay
113,53,48,20.26707606,76.63895217,4.81450727,rice,Clay
103,54,54,25.7354293,78.88266234,5.949410611,rice,Clay
110,55,52,26.79533926,77.1480873,5.750660556,rice,Clay
114,57,45,26.75754171,76.17734011,5.760370061,rice,Clay Loam
110,39,46,23.86330467,78.15250801,5.361398642,rice,Clay
75,43,54,21.01944696,77.95221726,7.216245107,rice,Clay
78,44,51,24.17298839,78.7287574,5.383370042,rice,Clay
77,42,46,22.78133816,77.06719137,6.230010215,rice,Clay
79,45,53,25.62980105,78.52842314,5.334878156,rice,Clay
98,60,46,25.59704938,75.14509262,6.703985986,rice,Clay
97,40,50,23.83067496,79.81360127,6.071478838,rice,Clay Loam
100,52,55,26.31355498,77.36698992,7.024285503,rice,Clay
106,35,48,24.8972823,75.52586088,5.93428721,rice,Clay
91,49,52,24.958779,79.47963372,5.006373153,rice,Clay Loam
89,39,48,23.24113501,79.59201843,7.582051313,rice,Clay
94,43,49,21.66628296,75.70960551,6.862779015,rice,Silty Loam
103,55,55,24.63544858,75.41363018,7.530367824,rice,Clay
75,36,53,23.43121862,78.06310136,5.086203711,rice,Clay
91,60,49,20.0454142,75.3477562,6.566240045,rice,Clay
108,56,52,23.85724032,77.22572988,7.182762603,rice,Clay
80,60,53,21.97199397,76.89918197,5.458169482,rice,Clay
